workload,frame,frame_ms,gc_bytes,gpu_ms,RR.UI,RR.Streaming,RR.IndustryTick,RR.MachineViews,RR.WeatherViews,RR.TorchRefresh,RR.PassiveTick,RR.HostileTick,RR.SurvivalTick,alloc_RR.UI,alloc_RR.Streaming,alloc_RR.IndustryTick,alloc_RR.MachineViews,alloc_RR.WeatherViews,alloc_RR.TorchRefresh,alloc_RR.PassiveTick,alloc_RR.HostileTick,alloc_RR.SurvivalTick,machine_views_created,crate_views_created,timing_timestamp,cpu_main_ms,cpu_render_ms,present_wait_ms,draw_calls,batches,set_pass,srp_draw_calls,shadow_casters
factory-192,528,48.4700,-1,48.3761,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,3274849005486,3.7878,2.7585,44.4768,-1,-1,61,2557,491
factory-192,529,46.9047,-1,48.4352,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,3274849488300,8.5300,2.4748,40.1765,-1,-1,61,2557,491
factory-192,589,39.4482,-1,17.7300,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,3274857584108,3.0743,1.2217,8.0132,-1,-1,61,2556,490
factory-192,590,49.0598,-1,38.0150,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,3274857695110,3.2313,1.2449,7.8679,-1,-1,61,2556,490
factory-192,591,49.2801,-1,48.5379,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,3274857806204,2.7821,1.3667,10.9022,-1,-1,61,2556,490
factory-192,592,49.4203,-1,48.7816,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,3274857943139,3.8081,1.0562,35.6330,-1,-1,61,2556,490
factory-192,593,48.2714,-1,48.9408,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,3274858337654,3.6656,1.7217,45.3977,-1,-1,61,2556,490
factory-192,594,49.0461,-1,48.0502,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,3274858828484,11.7650,1.1154,37.4651,-1,-1,61,2556,490
factory-192,595,48.5512,-1,48.4037,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,3274859321058,2.3756,1.3293,47.0312,-1,-1,61,2556,490
factory-192,596,48.8616,-1,48.1894,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,3274859815258,3.5867,1.4707,44.6722,-1,-1,61,2556,490
stress-factory-farm-mobs-clear,81,25.5298,-1,13.1195,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,3276273273770,4.5320,3.9685,7.1515,-1,-1,171,7253,2437
stress-factory-farm-mobs-clear,82,27.6334,-1,22.9786,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,3276273390714,5.1833,4.6680,7.3702,-1,-1,171,7253,2437
stress-factory-farm-mobs-clear,83,30.3229,-1,27.4232,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,3276273516375,12.7784,3.2508,0.6232,-1,-1,171,7253,2437
stress-factory-farm-mobs-clear,84,28.6594,-1,29.0015,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,3276273650526,6.2313,3.5008,19.2943,-1,-1,171,7253,2437
