timestamp, temperature.gpu, clocks.current.graphics [MHz], utilization.gpu [%], power.draw [W], clocks_event_reasons.sw_thermal_slowdown
2026/09/20 03:31:35.408, 85, 1170 MHz, 95 %, 69.75 W, Active
2026/09/20 03:31:37.428, 84, 1065 MHz, 97 %, 62.32 W, Active
2026/09/20 03:31:39.456, 85, 1035 MHz, 97 %, 63.02 W, Active
2026/09/20 03:31:41.478, 84, 1020 MHz, 96 %, 63.31 W, Active
2026/09/20 03:31:43.495, 85, 1080 MHz, 97 %, 62.29 W, Active
2026/09/20 03:31:45.506, 85, 1050 MHz, 98 %, 62.28 W, Active
2026/09/20 03:31:47.523, 85, 1050 MHz, 95 %, 62.39 W, Active
2026/09/20 03:31:49.537, 85, 1065 MHz, 98 %, 61.59 W, Active
2026/09/20 03:31:51.553, 85, 1020 MHz, 98 %, 62.36 W, Active
2026/09/20 03:31:53.570, 85, 1020 MHz, 96 %, 62.56 W, Active
2026/09/20 03:31:55.591, 85, 1035 MHz, 98 %, 62.27 W, Active
2026/09/20 03:31:57.614, 85, 1095 MHz, 97 %, 62.15 W, Active
2026/09/20 03:31:59.635, 85, 1020 MHz, 97 %, 63.19 W, Active
2026/09/20 03:32:01.655, 85, 1035 MHz, 97 %, 62.92 W, Active
2026/09/20 03:32:03.674, 85, 1020 MHz, 98 %, 62.74 W, Active
2026/09/20 03:32:05.694, 85, 1035 MHz, 96 %, 61.67 W, Active
2026/09/20 03:32:07.719, 85, 1020 MHz, 98 %, 63.09 W, Active
2026/09/20 03:32:09.739, 85, 1020 MHz, 97 %, 62.55 W, Active
2026/09/20 03:32:11.767, 85, 1020 MHz, 96 %, 62.83 W, Active
2026/09/20 03:32:13.794, 85, 1050 MHz, 97 %, 61.51 W, Active
2026/09/20 03:32:15.814, 85, 1050 MHz, 97 %, 61.68 W, Active
2026/09/20 03:32:17.836, 85, 1035 MHz, 98 %, 61.93 W, Active
2026/09/20 03:32:19.859, 85, 1020 MHz, 96 %, 61.47 W, Active
2026/09/20 03:32:21.880, 85, 1020 MHz, 97 %, 62.71 W, Active
2026/09/20 03:32:23.895, 85, 1020 MHz, 97 %, 61.98 W, Active
2026/09/20 03:32:25.921, 85, 1020 MHz, 96 %, 62.35 W, Active
2026/09/20 03:32:27.938, 85, 1050 MHz, 97 %, 62.09 W, Active
2026/09/20 03:32:29.957, 85, 330 MHz, 92 %, 62.54 W, Active
2026/09/20 03:32:31.974, 85, 1620 MHz, 96 %, 59.99 W, Not Active
2026/09/20 03:32:33.998, 84, 300 MHz, 97 %, 43.53 W, Active
2026/09/20 03:32:36.018, 84, 840 MHz, 97 %, 53.56 W, Active
2026/09/20 03:32:38.043, 83, 300 MHz, 97 %, 50.18 W, Active
2026/09/20 03:32:40.054, 85, 1050 MHz, 97 %, 57.95 W, Active
