workload,frame,frame_ms,gc_bytes,gpu_ms,RR.UI,RR.Streaming,RR.IndustryTick,RR.MachineViews,RR.WeatherViews,RR.TorchRefresh,RR.PassiveTick,RR.HostileTick,RR.SurvivalTick,alloc_RR.UI,alloc_RR.Streaming,alloc_RR.IndustryTick,alloc_RR.MachineViews,alloc_RR.WeatherViews,alloc_RR.TorchRefresh,alloc_RR.PassiveTick,alloc_RR.HostileTick,alloc_RR.SurvivalTick,machine_views_created,crate_views_created,timing_timestamp,cpu_main_ms,cpu_render_ms,present_wait_ms,draw_calls,batches,set_pass,srp_draw_calls,shadow_casters
stress-factory-farm-mobs-clear,792,26.0813,-1,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,3222347954283,8.9155,3.7937,65.0476,-1,-1,170,7194,2374
stress-factory-farm-mobs-clear,1003,25.7478,-1,17.4428,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,3222378321184,4.5151,3.3819,6.0980,-1,-1,170,7170,2354
stress-factory-farm-mobs-clear,1004,27.0398,-1,24.8845,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,3222378427438,4.6878,3.6626,6.8631,-1,-1,170,7174,2354
stress-factory-farm-mobs-clear,1005,27.0563,-1,26.8882,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,3222378543068,12.5189,3.5979,4.5642,-1,-1,170,7175,2355
stress-factory-farm-mobs-clear,1006,25.1741,-1,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,3222378713999,4.9228,3.2677,20.8158,-1,-1,170,7175,2355
stress-factory-farm-mobs-clear,1007,26.5498,-1,25.8732,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,3222378971499,5.0378,3.5346,21.9891,-1,-1,170,7175,2355
stress-factory-farm-mobs-clear,1008,28.1434,-1,25.7925,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,3222379241900,11.1201,14.8691,15.9391,-1,-1,170,7175,2355
stress-factory-farm-mobs-clear,1009,25.2601,-1,24.3620,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,3222379512687,16.3563,4.2468,8.7889,-1,-1,170,7175,2355
stress-factory-farm-mobs-clear,1027,23.9173,-1,18.1780,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,3222382265328,5.3353,3.4394,13.6831,-1,-1,170,7171,2351
stress-factory-farm-mobs-clear,1129,24.1902,-1,16.7552,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,3222396688333,4.9960,3.5412,9.7903,-1,-1,170,7162,2341
