timestamp, temperature.gpu, clocks.current.graphics [MHz], utilization.gpu [%], power.draw [W], clocks_event_reasons.sw_thermal_slowdown
2026/09/22 13:00:53.589, 87, 420 MHz, 96 %, 77.57 W, Active
2026/09/22 13:00:55.621, 87, 420 MHz, 95 %, 76.89 W, Active
2026/09/22 13:00:57.639, 84, 300 MHz, 97 %, 43.18 W, Active
2026/09/22 13:00:59.660, 83, 1005 MHz, 96 %, 52.49 W, Not Active
2026/09/22 13:01:01.754, 82, 1005 MHz, 96 %, 41.76 W, Not Active
2026/09/22 13:01:03.797, 82, 1005 MHz, 94 %, 53.69 W, Not Active
2026/09/22 13:01:05.839, 83, 1005 MHz, 96 %, 58.15 W, Not Active
2026/09/22 13:01:07.879, 83, 780 MHz, 96 %, 50.30 W, Active
2026/09/22 13:01:09.899, 83, 1005 MHz, 93 %, 51.37 W, Not Active
2026/09/22 13:01:11.939, 84, 1185 MHz, 95 %, 59.26 W, Not Active
2026/09/22 13:01:13.978, 85, 300 MHz, 95 %, 58.94 W, Active
2026/09/22 13:01:15.994, 85, 1050 MHz, 97 %, 64.60 W, Active
2026/09/22 13:01:18.012, 85, 1020 MHz, 98 %, 63.87 W, Active
2026/09/22 13:01:20.033, 85, 1005 MHz, 96 %, 63.39 W, Active
2026/09/22 13:01:22.053, 85, 1035 MHz, 96 %, 62.91 W, Active
2026/09/22 13:01:24.068, 85, 1035 MHz, 82 %, 63.49 W, Active
2026/09/22 13:01:26.098, 85, 1035 MHz, 93 %, 62.79 W, Active
2026/09/22 13:01:28.123, 85, 1020 MHz, 98 %, 63.50 W, Active
2026/09/22 13:01:30.146, 85, 1050 MHz, 97 %, 62.93 W, Active
2026/09/22 13:01:32.160, 85, 1005 MHz, 98 %, 63.28 W, Active
2026/09/22 13:01:34.179, 86, 1020 MHz, 96 %, 62.82 W, Active
2026/09/22 13:01:36.201, 86, 1020 MHz, 95 %, 63.31 W, Active
2026/09/22 13:01:38.221, 86, 1020 MHz, 94 %, 64.10 W, Active
2026/09/22 13:01:40.241, 86, 1005 MHz, 97 %, 63.55 W, Active
2026/09/22 13:01:42.258, 86, 1560 MHz, 96 %, 64.92 W, Not Active
2026/09/22 13:01:44.286, 85, 1050 MHz, 96 %, 60.41 W, Active
2026/09/22 13:01:46.313, 88, 900 MHz, 96 %, 95.35 W, Active
2026/09/22 13:01:48.344, 84, 840 MHz, 95 %, 54.92 W, Active
2026/09/22 13:01:50.373, 88, 1395 MHz, 98 %, 94.42 W, Not Active
2026/09/22 13:01:52.396, 88, 1365 MHz, 95 %, 85.19 W, Not Active
2026/09/22 13:01:54.413, 88, 1440 MHz, 97 %, 93.24 W, Not Active
2026/09/22 13:01:56.430, 88, 1665 MHz, 97 %, 93.22 W, Not Active
2026/09/22 13:01:58.447, 88, 1680 MHz, 97 %, 94.74 W, Not Active
2026/09/22 13:02:00.461, 87, 1695 MHz, 97 %, 94.43 W, Not Active
2026/09/22 13:02:02.481, 85, 540 MHz, 57 %, 53.68 W, Active
2026/09/22 13:02:04.493, 85, 1140 MHz, 92 %, 66.27 W, Active
2026/09/22 13:02:06.508, 85, 1065 MHz, 96 %, 65.40 W, Active
2026/09/22 13:02:08.528, 85, 1110 MHz, 98 %, 63.13 W, Active
2026/09/22 13:02:10.548, 85, 1080 MHz, 99 %, 65.79 W, Active
2026/09/22 13:02:12.568, 86, 300 MHz, 97 %, 86.80 W, Active
2026/09/22 13:02:14.583, 84, 300 MHz, 94 %, 45.95 W, Active
2026/09/22 13:02:16.605, 83, 300 MHz, 98 %, 41.98 W, Active
2026/09/22 13:02:18.688, 83, 300 MHz, 99 %, 42.24 W, Active
2026/09/22 13:02:20.747, 83, 300 MHz, 99 %, 42.39 W, Active
2026/09/22 13:02:22.771, 85, 1065 MHz, 98 %, 62.23 W, Active
2026/09/22 13:02:24.794, 86, 1410 MHz, 99 %, 78.94 W, Not Active
2026/09/22 13:02:26.831, 85, 1050 MHz, 99 %, 63.95 W, Active
2026/09/22 13:02:28.854, 85, 1035 MHz, 100 %, 64.11 W, Active
2026/09/22 13:02:30.870, 86, 1035 MHz, 99 %, 64.78 W, Active
2026/09/22 13:02:32.889, 84, 300 MHz, 100 %, 51.39 W, Active
2026/09/22 13:02:34.913, 85, 300 MHz, 99 %, 45.38 W, Active
2026/09/22 13:02:36.939, 85, 300 MHz, 99 %, 92.47 W, Active
2026/09/22 13:02:38.964, 85, 300 MHz, 99 %, 73.96 W, Active
2026/09/22 13:02:40.982, 85, 300 MHz, 99 %, 57.12 W, Active
2026/09/22 13:02:43.007, 86, 1125 MHz, 99 %, 68.88 W, Active
2026/09/22 13:02:45.034, 86, 1050 MHz, 99 %, 66.22 W, Active
2026/09/22 13:02:47.047, 86, 645 MHz, 98 %, 63.46 W, Active
2026/09/22 13:02:49.064, 81, 1080 MHz, 45 %, 39.69 W, Not Active
2026/09/22 13:02:51.098, 85, 615 MHz, 94 %, 71.32 W, Active
2026/09/22 13:02:53.118, 85, 1305 MHz, 90 %, 65.81 W, Active
2026/09/22 13:02:55.136, 87, 855 MHz, 89 %, 75.37 W, Active
2026/09/22 13:02:57.315, 87, 495 MHz, 91 %, 68.12 W, Active
2026/09/22 13:02:59.364, 87, 300 MHz, 91 %, 66.90 W, Active
2026/09/22 13:03:01.402, 83, 1005 MHz, 91 %, 41.90 W, Not Active
2026/09/22 13:03:03.534, 87, 675 MHz, 94 %, 90.50 W, Active
2026/09/22 13:03:05.558, 85, 1110 MHz, 94 %, 66.04 W, Active
2026/09/22 13:03:07.577, 85, 1050 MHz, 96 %, 63.66 W, Active
2026/09/22 13:03:09.599, 86, 1035 MHz, 99 %, 63.48 W, Active
2026/09/22 13:03:11.617, 86, 1035 MHz, 97 %, 63.26 W, Active
