timestamp, temperature.gpu, clocks.current.graphics [MHz], utilization.gpu [%], power.draw [W], clocks_event_reasons.sw_thermal_slowdown
2026/09/20 03:02:49.175, 84, 1020 MHz, 96 %, 61.76 W, Active
2026/09/20 03:02:51.198, 84, 435 MHz, 98 %, 74.42 W, Active
2026/09/20 03:02:53.218, 86, 1290 MHz, 98 %, 79.04 W, Active
2026/09/20 03:02:55.244, 84, 360 MHz, 98 %, 67.74 W, Active
2026/09/20 03:02:57.268, 84, 420 MHz, 99 %, 66.34 W, Active
2026/09/20 03:02:59.286, 85, 1050 MHz, 97 %, 62.82 W, Active
2026/09/20 03:03:01.310, 85, 1035 MHz, 100 %, 65.88 W, Active
2026/09/20 03:03:03.327, 85, 855 MHz, 37 %, 69.02 W, Active
2026/09/20 03:03:05.354, 83, 825 MHz, 97 %, 54.06 W, Active
2026/09/20 03:03:07.370, 83, 915 MHz, 97 %, 54.30 W, Active
2026/09/20 03:03:09.391, 82, 1005 MHz, 97 %, 36.76 W, Not Active
2026/09/20 03:03:11.579, 84, 300 MHz, 100 %, 62.62 W, Active
2026/09/20 03:03:13.603, 83, 1290 MHz, 99 %, 42.23 W, Not Active
2026/09/20 03:03:15.631, 86, 795 MHz, 100 %, 63.49 W, Active
2026/09/20 03:03:17.646, 85, 1110 MHz, 99 %, 68.40 W, Active
2026/09/20 03:03:19.669, 87, 300 MHz, 98 %, 76.15 W, Active
2026/09/20 03:03:21.727, 87, 360 MHz, 98 %, 77.78 W, Active
2026/09/20 03:03:23.764, 87, 465 MHz, 98 %, 78.40 W, Active
2026/09/20 03:03:25.786, 86, 405 MHz, 98 %, 76.87 W, Active
2026/09/20 03:03:27.857, 86, 495 MHz, 99 %, 78.98 W, Active
2026/09/20 03:03:29.869, 87, 465 MHz, 98 %, 78.63 W, Active
2026/09/20 03:03:31.923, 85, 300 MHz, 99 %, 67.83 W, Active
2026/09/20 03:03:33.942, 84, 300 MHz, 99 %, 50.11 W, Active
2026/09/20 03:03:35.956, 85, 1215 MHz, 97 %, 67.70 W, Active
2026/09/20 03:03:37.973, 85, 900 MHz, 90 %, 68.71 W, Active
2026/09/20 03:03:39.996, 85, 1095 MHz, 97 %, 64.82 W, Active
2026/09/20 03:03:42.014, 85, 1095 MHz, 99 %, 65.78 W, Active
2026/09/20 03:03:44.027, 84, 585 MHz, 96 %, 60.31 W, Active
2026/09/20 03:03:46.048, 85, 1155 MHz, 93 %, 68.03 W, Active
2026/09/20 03:03:48.073, 84, 300 MHz, 98 %, 52.37 W, Active
2026/09/20 03:03:50.097, 85, 300 MHz, 98 %, 58.29 W, Active
2026/09/20 03:03:52.124, 86, 300 MHz, 96 %, 58.79 W, Active
2026/09/20 03:03:54.136, 84, 1185 MHz, 98 %, 65.34 W, Active
2026/09/20 03:03:56.170, 84, 300 MHz, 97 %, 43.19 W, Active
2026/09/20 03:03:58.189, 84, 1005 MHz, 98 %, 59.40 W, Active
2026/09/20 03:04:00.214, 87, 1365 MHz, 99 %, 74.56 W, Active
2026/09/20 03:04:02.327, 85, 510 MHz, 94 %, 62.62 W, Active
2026/09/20 03:04:04.341, 85, 1050 MHz, 95 %, 64.04 W, Active
2026/09/20 03:04:06.360, 84, 870 MHz, 98 %, 56.60 W, Active
2026/09/20 03:04:08.381, 83, 300 MHz, 97 %, 40.73 W, Active
2026/09/20 03:04:10.398, 82, 300 MHz, 96 %, 41.51 W, Active
2026/09/20 03:04:12.467, 82, 1005 MHz, 97 %, 41.04 W, Not Active
2026/09/20 03:04:14.529, 82, 1005 MHz, 98 %, 40.88 W, Not Active
2026/09/20 03:04:16.595, 82, 1005 MHz, 98 %, 40.77 W, Not Active
2026/09/20 03:04:18.637, 82, 1005 MHz, 97 %, 41.11 W, Not Active
2026/09/20 03:04:20.670, 83, 1005 MHz, 98 %, 44.29 W, Not Active
2026/09/20 03:04:22.708, 83, 1005 MHz, 98 %, 55.77 W, Active
2026/09/20 03:04:24.734, 85, 1095 MHz, 95 %, 65.69 W, Active
2026/09/20 03:04:26.752, 83, 1665 MHz, 98 %, 44.58 W, Not Active
2026/09/20 03:04:28.777, 85, 615 MHz, 97 %, 65.62 W, Active
2026/09/20 03:04:30.799, 85, 435 MHz, 96 %, 68.06 W, Active
2026/09/20 03:04:32.815, 85, 1185 MHz, 98 %, 65.07 W, Active
2026/09/20 03:04:34.849, 86, 645 MHz, 99 %, 73.64 W, Active
2026/09/20 03:04:36.882, 87, 330 MHz, 96 %, 74.65 W, Active
2026/09/20 03:04:38.919, 87, 420 MHz, 96 %, 76.39 W, Active
2026/09/20 03:04:40.956, 87, 300 MHz, 99 %, 75.53 W, Active
2026/09/20 03:04:43.003, 87, 345 MHz, 97 %, 75.63 W, Active
2026/09/20 03:04:45.049, 86, 435 MHz, 98 %, 77.29 W, Active
2026/09/20 03:04:47.109, 87, 330 MHz, 99 %, 76.24 W, Active
2026/09/20 03:04:49.131, 83, 300 MHz, 97 %, 42.58 W, Active
2026/09/20 03:04:51.147, 83, 300 MHz, 97 %, 41.84 W, Active
2026/09/20 03:04:53.167, 84, 300 MHz, 98 %, 46.63 W, Active
2026/09/20 03:04:55.178, 84, 300 MHz, 98 %, 42.91 W, Active
2026/09/20 03:04:57.199, 83, 300 MHz, 92 %, 44.03 W, Active
2026/09/20 03:04:59.215, 85, 1440 MHz, 85 %, 72.30 W, Not Active
2026/09/20 03:05:01.245, 86, 1170 MHz, 88 %, 63.80 W, Active
2026/09/20 03:05:03.265, 85, 975 MHz, 82 %, 55.12 W, Active
2026/09/20 03:05:05.352, 83, 300 MHz, 77 %, 50.86 W, Active
2026/09/20 03:05:07.375, 85, 1110 MHz, 81 %, 62.39 W, Active
2026/09/20 03:05:09.392, 85, 1140 MHz, 70 %, 61.18 W, Active
2026/09/20 03:05:11.408, 85, 1050 MHz, 93 %, 62.82 W, Active
2026/09/20 03:05:13.435, 85, 1020 MHz, 100 %, 63.49 W, Active
2026/09/20 03:05:15.463, 85, 1020 MHz, 97 %, 62.70 W, Active
2026/09/20 03:05:17.484, 85, 1020 MHz, 98 %, 62.61 W, Active
2026/09/20 03:05:19.506, 85, 1035 MHz, 99 %, 63.52 W, Active
2026/09/20 03:05:21.527, 85, 1050 MHz, 97 %, 63.13 W, Active
2026/09/20 03:05:23.548, 83, 1005 MHz, 95 %, 41.43 W, Not Active
2026/09/20 03:05:25.584, 83, 1005 MHz, 99 %, 45.00 W, Not Active
2026/09/20 03:05:27.620, 83, 1005 MHz, 98 %, 44.07 W, Not Active
2026/09/20 03:05:29.640, 83, 1005 MHz, 97 %, 44.56 W, Not Active
2026/09/20 03:05:31.670, 83, 1005 MHz, 98 %, 41.06 W, Not Active
2026/09/20 03:05:33.706, 87, 1680 MHz, 97 %, 76.96 W, Not Active
2026/09/20 03:05:35.727, 86, 435 MHz, 96 %, 78.04 W, Active
2026/09/20 03:05:37.747, 85, 1110 MHz, 98 %, 65.45 W, Active
2026/09/20 03:05:39.765, 84, 1110 MHz, 98 %, 61.65 W, Not Active
2026/09/20 03:05:41.789, 85, 1050 MHz, 97 %, 63.74 W, Active
2026/09/20 03:05:43.809, 85, 1050 MHz, 98 %, 62.60 W, Active
2026/09/20 03:05:45.842, 85, 1020 MHz, 99 %, 63.66 W, Active
2026/09/20 03:05:47.868, 85, 1050 MHz, 96 %, 62.93 W, Active
2026/09/20 03:05:49.890, 83, 1005 MHz, 94 %, 41.25 W, Not Active
2026/09/20 03:05:51.919, 84, 1500 MHz, 99 %, 42.01 W, Not Active
2026/09/20 03:05:53.937, 85, 1125 MHz, 95 %, 68.00 W, Active
2026/09/20 03:05:55.946, 87, 1470 MHz, 97 %, 84.34 W, Not Active
2026/09/20 03:05:57.972, 84, 300 MHz, 99 %, 54.58 W, Active
2026/09/20 03:05:59.991, 84, 975 MHz, 99 %, 55.35 W, Active
2026/09/20 03:06:02.019, 88, 1650 MHz, 92 %, 82.97 W, Not Active
2026/09/20 03:06:04.040, 87, 1620 MHz, 98 %, 78.79 W, Not Active
2026/09/20 03:06:06.070, 87, 1710 MHz, 98 %, 82.10 W, Not Active
2026/09/20 03:06:08.094, 86, 1680 MHz, 95 %, 82.20 W, Not Active
2026/09/20 03:06:10.116, 85, 1740 MHz, 98 %, 57.56 W, Not Active
2026/09/20 03:06:12.132, 87, 1620 MHz, 96 %, 81.88 W, Not Active
2026/09/20 03:06:14.150, 85, 1140 MHz, 97 %, 66.11 W, Active
2026/09/20 03:06:16.175, 86, 1650 MHz, 98 %, 63.44 W, Not Active
2026/09/20 03:06:18.198, 84, 1065 MHz, 99 %, 58.46 W, Active
2026/09/20 03:06:20.219, 84, 1020 MHz, 97 %, 56.27 W, Active
2026/09/20 03:06:22.245, 85, 975 MHz, 98 %, 57.65 W, Active
2026/09/20 03:06:24.262, 83, 1005 MHz, 99 %, 42.28 W, Not Active
2026/09/20 03:06:26.306, 82, 1005 MHz, 98 %, 41.75 W, Not Active
2026/09/20 03:06:28.334, 83, 1005 MHz, 97 %, 48.55 W, Not Active
2026/09/20 03:06:30.374, 82, 300 MHz, 98 %, 41.02 W, Not Active
2026/09/20 03:06:32.426, 83, 1005 MHz, 99 %, 41.27 W, Not Active
2026/09/20 03:06:34.462, 83, 1080 MHz, 96 %, 53.45 W, Not Active
2026/09/20 03:06:36.487, 85, 1170 MHz, 98 %, 73.25 W, Active
2026/09/20 03:06:38.511, 83, 495 MHz, 97 %, 58.61 W, Active
2026/09/20 03:06:40.532, 84, 1050 MHz, 96 %, 63.28 W, Active
2026/09/20 03:06:42.565, 85, 780 MHz, 98 %, 91.58 W, Active
2026/09/20 03:06:44.585, 85, 1080 MHz, 98 %, 63.79 W, Active
2026/09/20 03:06:46.599, 85, 1635 MHz, 92 %, 61.05 W, Not Active
2026/09/20 03:06:48.615, 84, 1680 MHz, 98 %, 58.03 W, Not Active
2026/09/20 03:06:50.648, 83, 1530 MHz, 96 %, 58.45 W, Not Active
2026/09/20 03:06:52.684, 83, 1005 MHz, 96 %, 58.34 W, Not Active
2026/09/20 03:06:54.726, 83, 1005 MHz, 94 %, 58.54 W, Not Active
2026/09/20 03:06:56.762, 87, 525 MHz, 94 %, 75.60 W, Active
2026/09/20 03:06:58.958, 86, 300 MHz, 99 %, 76.24 W, Active
2026/09/20 03:07:00.995, 83, 1005 MHz, 98 %, 41.78 W, Not Active
2026/09/20 03:07:03.033, 83, 780 MHz, 100 %, 50.88 W, Active
2026/09/20 03:07:05.060, 85, 1110 MHz, 99 %, 66.07 W, Active
2026/09/20 03:07:07.082, 84, 840 MHz, 98 %, 50.03 W, Active
2026/09/20 03:07:09.099, 85, 1050 MHz, 99 %, 61.42 W, Active
2026/09/20 03:07:11.123, 84, 960 MHz, 99 %, 58.49 W, Active
2026/09/20 03:07:13.140, 84, 1005 MHz, 97 %, 60.96 W, Not Active
2026/09/20 03:07:15.183, 83, 1005 MHz, 99 %, 58.52 W, Not Active
2026/09/20 03:07:17.223, 83, 1005 MHz, 99 %, 43.75 W, Not Active
2026/09/20 03:07:19.254, 84, 1185 MHz, 98 %, 65.18 W, Not Active
2026/09/20 03:07:21.277, 85, 1365 MHz, 98 %, 69.47 W, Not Active
2026/09/20 03:07:23.300, 85, 1125 MHz, 100 %, 66.32 W, Active
2026/09/20 03:07:25.328, 84, 1050 MHz, 98 %, 56.44 W, Active
2026/09/20 03:07:27.348, 83, 1080 MHz, 95 %, 42.35 W, Not Active
2026/09/20 03:07:29.370, 84, 1020 MHz, 99 %, 57.14 W, Active
2026/09/20 03:07:31.387, 85, 1050 MHz, 99 %, 64.29 W, Active
2026/09/20 03:07:33.410, 85, 1050 MHz, 99 %, 62.69 W, Active
2026/09/20 03:07:35.435, 85, 1080 MHz, 100 %, 63.82 W, Active
2026/09/20 03:07:37.452, 85, 300 MHz, 98 %, 75.54 W, Active
2026/09/20 03:07:39.474, 84, 1050 MHz, 98 %, 56.82 W, Active
2026/09/20 03:07:41.492, 85, 1095 MHz, 99 %, 64.05 W, Active
2026/09/20 03:07:43.524, 84, 1080 MHz, 99 %, 62.32 W, Not Active
2026/09/20 03:07:45.561, 87, 735 MHz, 98 %, 94.20 W, Active
2026/09/20 03:07:47.589, 84, 825 MHz, 99 %, 54.95 W, Active
2026/09/20 03:07:49.619, 83, 300 MHz, 98 %, 42.26 W, Active
2026/09/20 03:07:51.640, 83, 300 MHz, 96 %, 43.40 W, Active
2026/09/20 03:07:53.659, 84, 300 MHz, 98 %, 43.31 W, Active
2026/09/20 03:07:55.684, 84, 300 MHz, 100 %, 43.02 W, Active
2026/09/20 03:07:57.703, 84, 300 MHz, 99 %, 42.80 W, Active
2026/09/20 03:07:59.728, 84, 300 MHz, 96 %, 46.40 W, Active
2026/09/20 03:08:01.752, 84, 300 MHz, 99 %, 42.48 W, Active
2026/09/20 03:08:03.773, 85, 540 MHz, 98 %, 66.95 W, Active
2026/09/20 03:08:05.800, 83, 735 MHz, 97 %, 50.38 W, Active
2026/09/20 03:08:07.822, 84, 960 MHz, 99 %, 56.36 W, Active
2026/09/20 03:08:09.844, 84, 1110 MHz, 97 %, 65.43 W, Active
2026/09/20 03:08:11.863, 85, 1185 MHz, 97 %, 68.14 W, Active
2026/09/20 03:08:13.878, 85, 1170 MHz, 98 %, 64.50 W, Active
2026/09/20 03:08:15.906, 85, 570 MHz, 97 %, 68.96 W, Active
2026/09/20 03:08:17.934, 85, 1005 MHz, 94 %, 60.98 W, Active
